PATHWAY	GENE
APOPTOSIS	BCL2
APOPTOSIS	CDKN2A
APOPTOSIS	CDKN2B
APOPTOSIS	FOXO1
APOPTOSIS	GNA13
APOPTOSIS	MFHAS1
APOPTOSIS	MYC
APOPTOSIS	SIN3A
APOPTOSIS	TP53
APOPTOSIS	XPO1
APOPTOSIS	RYR2
BCR	BTK
BCR	CCND3
BCR	CD79A
BCR	CD79B
BCR	ID3
BCR	ITPKB
BCR	PAX5
BCR	PLCG2
BCR	ARID1A
BCR	CREBBP
BCR	EP300
BCR	EZH2
BCR	KMT2D
BCR	MEF2B
BCR	SMARCA4
BCR	TNFRSF11A
IMMUNITY	B2M
IMMUNITY	CD58
IMMUNITY	CIITA
IMMUNITY	TNFRSF14
JAK/STAT	SOCS1
JAK/STAT	STAT6
MAP KINASE	BRAF
MAP KINASE	PCBP1
MAP KINASE	PTPN1
MAP KINASE	RRAGC
MAP KINASE	SGK1
NFKB	CARD11
NFKB	DDXD3
NFKB	IRF4
NFKB	MYD88
NFKB	PIM1
NFKB	PRDM1
NFKB	TNFAIP3
NOTCH	NOTCH1
NOTCH	NOTCH2
UBIQUITINISATION	CBLB
UBIQUITINISATION	FBXO11
WNT	TFAP4
