Size,Number
198,1204
197,2145
196,2883
195,3333
194,3532
193,3861
192,3972
191,4339
190,4445
189,5004
188,5303
187,5926
186,6192
185,6644
184,7078
183,7440
182,7847
181,8106
180,8945
179,9586
178,10808
177,11670
176,12777
175,13558
174,14983
173,15734
172,16393
171,16957
170,17685
169,18442
168,19738
167,20920
166,22001
165,23212
164,23979
163,23545
162,22713
161,21205
160,19297
159,17776
158,16111
157,15047
156,13848
155,12782
154,11818
153,10869
152,10243
151,9724
150,9609
149,9392
148,8951
147,8442
146,8292
145,7833
144,7502
143,6978
142,6558
141,6666
140,6488
139,6271
138,5774
137,5187
136,4751
135,4195
134,3779
133,927
132,2826
131,358
130,2933
129,1096
128,2783
127,682
126,2118
125,754
124,1985
123,673
122,1462
121,406
120,897
119,307
118,1202
117,351
116,929
115,322
114,945
113,343
112,995
111,354
110,883
109,330
108,952
107,329
106,1016
105,315
104,978
103,309
102,903
101,286
100,709
99,809
98,733
97,641
96,580
95,539
94,566
93,594
92,609
91,605
90,544
89,477
88,435
87,406
86,364
85,357
84,334
83,403
82,399
81,422
80,366
79,329
78,269
77,242
76,241
75,277
74,289
73,311
72,310
71,269
70,242
69,247
68,213
67,164
66,155
65,166
64,168
63,200
62,206
61,224
60,226
59,179
58,181
57,140
56,155
55,132
54,133
53,130
52,160
51,131
50,137
49,148
48,126
47,98
46,112
45,116
44,89
43,106
42,103
41,101
40,83
39,95
38,86
37,74
36,86
35,63
34,50
33,67
32,69
31,71
30,60
29,72
28,63
27,38
26,49
25,47
24,39
23,42
22,40
21,31
20,26
19,38
